Date,Close,Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
09-02-2018,8736.980469,6784820224,883.8649902,2495820032,1.002110004,1631139968,9.730460167,9284
10-02-2018,8621.900391,7780960256,860.414978,2930530048,1.003700018,2628379904,9.255970001,80123200
11-02-2018,8129.970215,6122189824,814.6599731,2486650112,0.999251008,2431739904,8.704910278,68554600
12-02-2018,8926.570313,6256439808,868.7069702,2243450112,1.000090003,2457489920,9.322469711,50792600
13-02-2018,8598.30957,5696719872,845.2579956,2081170048,1.001099944,2226759936,8.986780167,41593400
14-02-2018,9494.629883,7909819904,923.5609741,2818370048,1.000769973,3066190080,10.40060043,68781600
15-02-2018,10166.40039,9062540288,936.9760132,2900100096,1.005409956,3286909952,10.93109989,108962000
16-02-2018,10233.90039,7296159744,944.210022,2369449984,1.002099991,2605819904,11.20160007,71131800
17-02-2018,11112.7002,8660880384,974.1149902,2525720064,1.003700018,2797600000,11.68929958,76093504
18-02-2018,10551.7998,8744009728,923.9210205,2567290112,1.005190015,3124179968,10.70240021,62044700
19-02-2018,11225.2998,7652089856,943.8649902,2169019904,1.000609994,2546439936,11.07569981,54898800
20-02-2018,11403.7002,9926540288,895.3709717,2545260032,1.000609994,3126220032,9.904509544,66512400
21-02-2018,10690.40039,9405339648,849.9710083,2531729920,1.000970006,3459830016,9.380789757,55087600
22-02-2018,10005,8040079872,812.8449707,2150370048,1.004089952,2904620032,8.904029846,47216100
23-02-2018,10301.09961,7739500032,864.1890259,2334820096,1.001569986,2815280128,9.692110062,53626800
24-02-2018,9813.070313,6917929984,840.5150146,1926579968,1.002840042,2417710080,9.141909599,48709200
25-02-2018,9664.730469,5706939904,844.8099976,1646960000,1.000339985,1968850048,9.346599579,43814500
26-02-2018,10366.7002,7287690240,869.3150024,2044480000,0.999561012,2362210048,9.902319908,53540300
27-02-2018,10725.59961,6966179840,878.2650146,2053980032,1.000519991,2473019904,10.65989971,97184400
