Date,Open,High,Low,Close
01-Jan-03,-,-,-,1000
02-Jan-03,,,,1008
03-Jan-03,,,,1004.4
06-Jan-03,,,,999.85
07-Jan-03,,,,997.81
08-Jan-03,,,,1005.3
09-Jan-03,,,,1013.3
10-Jan-03,,,,998.61
13-Jan-03,,,,993.25
14-Jan-03,,,,997.95
15-Jan-03,,,,1003.6
16-Jan-03,,,,1006.7
17-Jan-03,,,,1005.3
20-Jan-03,,,,996.65
21-Jan-03,,,,998.93
22-Jan-03,,,,1002.3
23-Jan-03,,,,991.66
24-Jan-03,,,,977.08
27-Jan-03,,,,959.04
28-Jan-03,,,,967.5
29-Jan-03,,,,960.29
30-Jan-03,,,,957.81
31-Jan-03,,,,963.55
03-Feb-03,,,,976.04
04-Feb-03,,,,975.5
05-Feb-03,,,,968.92
06-Feb-03,,,,983.24
07-Feb-03,,,,977.81
10-Feb-03,,,,968.65
11-Feb-03,,,,967.91
12-Feb-03,,,,964.5
14-Feb-03,,,,955.96
17-Feb-03,,,,977.23
18-Feb-03,,,,978.53
19-Feb-03,,,,984.12
20-Feb-03,,,,985.35
21-Feb-03,,,,985.39
24-Feb-03,,,,989.11
25-Feb-03,,,,975.53
26-Feb-03,,,,969.63
27-Feb-03,,,,973.72
28-Feb-03,,,,982.26
03-Mar-03,,,,978.59
04-Mar-03,,,,967.64
05-Mar-03,,,,962.17
06-Mar-03,,,,953.68
07-Mar-03,,,,940.15
10-Mar-03,,,,929.62
11-Mar-03,,,,936.82
12-Mar-03,,,,925.57
13-Mar-03,,,,923.54
17-Mar-03,,,,917.41
19-Mar-03,,,,926.72
20-Mar-03,,,,945.8
21-Mar-03,,,,950.95
22-Mar-03,,,,957.54
24-Mar-03,,,,936.1
25-Mar-03,,,,933.76
26-Mar-03,,,,935.77
27-Mar-03,,,,926.25
28-Mar-03,,,,923.84
31-Mar-03,,,,902.42
01-Apr-03,,,,908.29
02-Apr-03,,,,922.88
03-Apr-03,,,,932.4
04-Apr-03,,,,940.9
07-Apr-03,,,,954.59
08-Apr-03,,,,943.4
09-Apr-03,,,,931.35
10-Apr-03,,,,893.81
11-Apr-03,,,,883.91
15-Apr-03,,,,885.08
16-Apr-03,,,,891.51
17-Apr-03,,,,876.31
21-Apr-03,,,,882.74
22-Apr-03,,,,879.56
23-Apr-03,,,,870.59
24-Apr-03,,,,867.14
25-Apr-03,,,,863.15
28-Apr-03,,,,869.41
29-Apr-03,,,,870.53
30-Apr-03,,,,872.71
02-May-03,,,,878.36
05-May-03,,,,886.84
06-May-03,,,,892.99
07-May-03,,,,890.79
08-May-03,,,,883.17
09-May-03,,,,881.34
12-May-03,,,,883.21
13-May-03,,,,890.81
14-May-03,,,,900.16
15-May-03,,,,907.95
16-May-03,,,,918.13
19-May-03,,,,911.86
20-May-03,,,,917.71
21-May-03,,,,917.95
22-May-03,,,,915.95
23-May-03,,,,921.08
26-May-03,,,,935.47
27-May-03,,,,929.39
28-May-03,,,,944.4
29-May-03,,,,956.78
30-May-03,,,,959.99
02-Jun-03,,,,962.2
03-Jun-03,,,,960.88
04-Jun-03,,,,970.66
05-Jun-03,,,,981.06
06-Jun-03,,,,989.55
09-Jun-03,,,,997.23
10-Jun-03,,,,981.24
11-Jun-03,,,,988.66
12-Jun-03,,,,995.6
13-Jun-03,,,,998.94
16-Jun-03,,,,993.92
17-Jun-03,,,,1021.4
18-Jun-03,,,,1025.1
19-Jun-03,,,,1032.9
20-Jun-03,,,,1040.7
23-Jun-03,,,,1032.3
24-Jun-03,,,,1029.9
25-Jun-03,,,,1048.8
26-Jun-03,,,,1056.5
27-Jun-03,,,,1065.1
30-Jun-03,,,,1073.4
01-Jul-03,,,,1072.3
02-Jul-03,,,,1077.4
03-Jul-03,,,,1089.1
04-Jul-03,,,,1084.2
07-Jul-03,,,,1088.8
08-Jul-03,,,,1092
09-Jul-03,,,,1085.6
10-Jul-03,,,,1105.5
11-Jul-03,,,,1106.2
14-Jul-03,,,,1117.3
15-Jul-03,,,,1106.6
16-Jul-03,,,,1118.6
17-Jul-03,,,,1101.6
18-Jul-03,,,,1090.5
21-Jul-03,,,,1068.9
22-Jul-03,,,,1060.7
23-Jul-03,,,,1070
24-Jul-03,,,,1088.9
25-Jul-03,,,,1112.1
28-Jul-03,,,,1119.2
29-Jul-03,,,,1124.6
30-Jul-03,,,,1135.2
31-Jul-03,,,,1135.3
01-Aug-03,,,,1144
04-Aug-03,,,,1151
05-Aug-03,,,,1132.4
06-Aug-03,,,,1119.5
07-Aug-03,,,,1143.9
08-Aug-03,,,,1166.5
11-Aug-03,,,,1175.7
12-Aug-03,,,,1176.5
13-Aug-03,,,,1186.9
14-Aug-03,,,,1188.7
18-Aug-03,,,,1221.2
19-Aug-03,,,,1218.4
20-Aug-03,,,,1227.8
21-Aug-03,,,,1240.5
22-Aug-03,,,,1248.7
25-Aug-03,,,,1210.5
26-Aug-03,,,,1256.7
27-Aug-03,,,,1280.9
28-Aug-03,,,,1283
29-Aug-03,,,,1296.3
01-Sep-03,,,,1312.9
02-Sep-03,,,,1321
03-Sep-03,,,,1295.4
04-Sep-03,,,,1306.1
05-Sep-03,,,,1328.6
08-Sep-03,,,,1348.6
09-Sep-03,,,,1339.3
10-Sep-03,,,,1342.8
11-Sep-03,,,,1338.5
12-Sep-03,,,,1309.6
15-Sep-03,,,,1270.2
16-Sep-03,,,,1298.4
17-Sep-03,,,,1285
18-Sep-03,,,,1248.4
19-Sep-03,,,,1264.9
22-Sep-03,,,,1248.6
23-Sep-03,,,,1270.2
24-Sep-03,,,,1310.1
25-Sep-03,,,,1298.1
26-Sep-03,,,,1330.1
29-Sep-03,,,,1343.9
